setting_id,setting_name,fixture,n,reorder,nnz_L,reorder_ms,factor_ms
10full,full Sprint-26-max (everything on) ,s3rmt3m3,5357,ND,476894,383.9,skip
10full,full Sprint-26-max (everything on) ,Pres_Poisson,14822,ND,2530967,1727.9,skip
11HCC,HCC alone (Day 3 sep=0 fix verification) ,nos4,100,ND,887,127.0,skip
11HCC,HCC alone (Day 3 sep=0 fix verification) ,bcsstk04,132,ND,3717,287.1,skip
11HCC,HCC alone (Day 3 sep=0 fix verification) ,Kuu,7102,ND,940582,5248.7,skip
11HCC,HCC alone (Day 3 sep=0 fix verification) ,bcsstk14,1806,ND,125032,793.7,skip
11HCC,HCC alone (Day 3 sep=0 fix verification) ,s3rmt3m3,5357,ND,482669,3587.0,skip
11HCC,HCC alone (Day 3 sep=0 fix verification) ,Pres_Poisson,14822,ND,2497108,7879.4,skip
12per_vertex_balance,per_vertex_balance alone ,nos4,100,ND,765,52.1,skip
12per_vertex_balance,per_vertex_balance alone ,bcsstk04,132,ND,3549,148.7,skip
12per_vertex_balance,per_vertex_balance alone ,Kuu,7102,ND,705728,4299.0,skip
12per_vertex_balance,per_vertex_balance alone ,bcsstk14,1806,ND,151049,1003.2,skip
12per_vertex_balance,per_vertex_balance alone ,s3rmt3m3,5357,ND,614153,2078.5,skip
12per_vertex_balance,per_vertex_balance alone ,Pres_Poisson,14822,ND,3312433,7224.4,skip
