# bitset=yes
matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.2,0.04,637
nos4,100,bitset,0.2,0.00,637
bcsstk04,132,qg,1.8,0.14,3143
bcsstk04,132,bitset,1.0,0.04,3143
bcsstk14,1806,qg,112.6,2.21,116071
bcsstk14,1806,bitset,63.6,0.05,116071
Kuu,7102,qg,478.8,10.49,406264
Kuu,7102,bitset,719.3,0.08,406264
s3rmt3m3,5357,qg,663.9,1.16,474609
s3rmt3m3,5357,bitset,521.5,0.00,474609
Pres_Poisson,14822,qg,7860.2,19.18,2668793
Pres_Poisson,14822,bitset,6647.4,16.08,2668793
banded_5000,5000,qg,38.3,0.00,29985
banded_5000,5000,bitset,275.5,0.00,29985
banded_10000,10000,qg,151.2,0.00,59985
banded_10000,10000,bitset,1141.7,0.00,59985
banded_20000,20000,qg,527.0,0.00,119985
banded_20000,20000,bitset,5114.9,24.75,119985
