matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.4,0.05,637
nos4,100,bitset,0.2,0.01,637
bcsstk04,132,qg,2.2,0.17,3143
bcsstk04,132,bitset,1.0,0.05,3143
bcsstk14,1806,qg,120.5,2.19,116071
bcsstk14,1806,bitset,64.5,0.05,116071
Kuu,7102,qg,537.3,10.78,406264
Kuu,7102,bitset,780.0,0.05,406264
s3rmt3m3,5357,qg,750.1,1.11,474609
s3rmt3m3,5357,bitset,555.3,0.06,474609
Pres_Poisson,14822,qg,8453.1,19.11,2668793
Pres_Poisson,14822,bitset,7099.2,16.08,2668793
banded_5000,5000,qg,40.9,0.00,29985
banded_5000,5000,bitset,270.3,0.00,29985
banded_10000,10000,qg,142.9,0.00,59985
banded_10000,10000,bitset,1274.4,0.00,59985
banded_20000,20000,qg,542.9,0.00,119985
banded_20000,20000,bitset,5752.4,24.91,119985
