setting,description,fixture,n,reorder_label,nnz_L,reorder_ms,factor
20,HEM+fixed_k×hybrid,nos4,100,ND,637,0.3,skip
20,HEM+fixed_k×hybrid,bcsstk04,132,ND,3679,180.4,skip
20,HEM+fixed_k×hybrid,Kuu,7102,ND,503429,4622.6,skip
20,HEM+fixed_k×hybrid,bcsstk14,1806,ND,282737,460.6,skip
20,HEM+fixed_k×hybrid,s3rmt3m3,5357,ND,832063,5584.7,skip
20,HEM+fixed_k×hybrid,Pres_Poisson,14822,ND,3299736,17556.1,skip
21,spectral+fixed_k×hybrid,nos4,100,ND,637,0.3,skip
21,spectral+fixed_k×hybrid,bcsstk04,132,ND,3693,7.7,skip
21,spectral+fixed_k×hybrid,Kuu,7102,ND,541281,5289.3,skip
21,spectral+fixed_k×hybrid,bcsstk14,1806,ND,267774,759.3,skip
21,spectral+fixed_k×hybrid,s3rmt3m3,5357,ND,901611,6368.0,skip
21,spectral+fixed_k×hybrid,Pres_Poisson,14822,ND,4398445,13759.6,skip
22,thick_restart+annealing,nos4,100,ND,637,0.3,skip
22,thick_restart+annealing,bcsstk04,132,ND,3677,199.8,skip
22,thick_restart+annealing,Kuu,7102,ND,903195,4781.8,skip
22,thick_restart+annealing,bcsstk14,1806,ND,130733,654.8,skip
22,thick_restart+annealing,s3rmt3m3,5357,ND,482731,4647.6,skip
22,thick_restart+annealing,Pres_Poisson,14822,ND,2578552,11944.6,skip
23,fixed_k×degree+annealing,nos4,100,ND,637,0.3,skip
23,fixed_k×degree+annealing,bcsstk04,132,ND,4613,220.1,skip
23,fixed_k×degree+annealing,Kuu,7102,ND,3245155,4582.6,skip
23,fixed_k×degree+annealing,bcsstk14,1806,ND,277394,480.3,skip
23,fixed_k×degree+annealing,s3rmt3m3,5357,ND,1046721,6612.2,skip
23,fixed_k×degree+annealing,Pres_Poisson,14822,ND,5310263,8926.7,skip
24,kitchen sink,nos4,100,ND,637,0.5,skip
24,kitchen sink,bcsstk04,132,ND,3693,9.0,skip
24,kitchen sink,Kuu,7102,ND,541281,5456.7,skip
24,kitchen sink,bcsstk14,1806,ND,267774,728.7,skip
24,kitchen sink,s3rmt3m3,5357,ND,873060,7469.4,skip
24,kitchen sink,Pres_Poisson,14822,ND,4211819,13626.5,skip
