# bitset=yes
matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.5,0.07,637
nos4,100,bitset,0.3,0.01,637
bcsstk04,132,qg,3.2,0.21,3143
bcsstk04,132,bitset,1.5,0.06,3143
bcsstk14,1806,qg,160.2,2.55,116071
bcsstk14,1806,bitset,89.3,0.05,116071
Kuu,7102,qg,705.5,10.57,406264
Kuu,7102,bitset,975.6,0.16,406264
s3rmt3m3,5357,qg,1016.6,1.10,474609
s3rmt3m3,5357,bitset,723.5,0.00,474609
Pres_Poisson,14822,qg,9611.7,19.09,2668793
Pres_Poisson,14822,bitset,7758.3,16.08,2668793
banded_5000,5000,qg,45.5,0.00,29985
banded_5000,5000,bitset,297.8,0.00,29985
banded_10000,10000,qg,173.6,0.00,59985
banded_10000,10000,bitset,1300.6,0.00,59985
banded_20000,20000,qg,598.3,0.00,119985
banded_20000,20000,bitset,5493.5,24.68,119985
