# bitset=yes
matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.6,0.06,637
nos4,100,bitset,0.3,0.00,637
bcsstk04,132,qg,2.7,0.10,3143
bcsstk04,132,bitset,1.3,0.02,3143
bcsstk14,1806,qg,211.5,2.52,116071
bcsstk14,1806,bitset,100.3,0.07,116071
Kuu,7102,qg,919.1,10.69,406264
Kuu,7102,bitset,1181.2,0.14,406264
s3rmt3m3,5357,qg,1290.7,1.13,474609
s3rmt3m3,5357,bitset,832.2,0.03,474609
Pres_Poisson,14822,qg,14198.8,19.10,2668793
Pres_Poisson,14822,bitset,9181.0,16.08,2668793
banded_5000,5000,qg,64.0,0.00,29985
banded_5000,5000,bitset,371.6,0.00,29985
banded_10000,10000,qg,234.2,0.00,59985
banded_10000,10000,bitset,1484.8,0.00,59985
banded_20000,20000,qg,881.2,0.00,119985
banded_20000,20000,bitset,6779.0,24.69,119985
