# bitset=yes
matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.2,0.03,637
nos4,100,bitset,0.2,0.00,637
bcsstk04,132,qg,1.8,0.10,3143
bcsstk04,132,bitset,0.9,0.00,3143
bcsstk14,1806,qg,125.8,2.26,116071
bcsstk14,1806,bitset,69.8,0.02,116071
Kuu,7102,qg,546.5,10.57,406264
Kuu,7102,bitset,766.4,0.05,406264
s3rmt3m3,5357,qg,728.2,1.06,474609
s3rmt3m3,5357,bitset,568.5,0.00,474609
Pres_Poisson,14822,qg,8138.8,19.19,2668793
Pres_Poisson,14822,bitset,6151.4,16.08,2668793
banded_5000,5000,qg,36.9,0.00,29985
banded_5000,5000,bitset,254.4,0.00,29985
banded_10000,10000,qg,140.9,0.00,59985
banded_10000,10000,bitset,1270.9,0.00,59985
banded_20000,20000,qg,551.6,0.00,119985
banded_20000,20000,bitset,5110.2,24.71,119985
