matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.5,0.08,637
nos4,100,bitset,0.3,0.00,637
bcsstk04,132,qg,2.8,0.16,3143
bcsstk04,132,bitset,1.4,0.04,3143
bcsstk14,1806,qg,158.5,2.37,116071
bcsstk14,1806,bitset,78.5,0.02,116071
Kuu,7102,qg,695.0,10.59,406264
Kuu,7102,bitset,1004.7,0.05,406264
s3rmt3m3,5357,qg,833.7,1.15,474609
s3rmt3m3,5357,bitset,625.5,0.00,474609
Pres_Poisson,14822,qg,9414.4,19.09,2668793
Pres_Poisson,14822,bitset,7235.7,16.08,2668793
banded_5000,5000,qg,49.1,0.00,29985
banded_5000,5000,bitset,283.8,0.00,29985
banded_10000,10000,qg,168.0,0.00,59985
banded_10000,10000,bitset,1233.3,0.00,59985
banded_20000,20000,qg,565.7,0.00,119985
banded_20000,20000,bitset,5627.9,24.77,119985
