matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.4,0.04,637
nos4,100,bitset,0.2,0.00,637
bcsstk04,132,qg,2.8,0.19,3143
bcsstk04,132,bitset,1.4,0.04,3143
bcsstk14,1806,qg,176.6,2.53,116071
bcsstk14,1806,bitset,77.9,0.04,116071
Kuu,7102,qg,685.0,10.64,406264
Kuu,7102,bitset,963.0,0.11,406264
s3rmt3m3,5357,qg,937.7,1.13,474609
s3rmt3m3,5357,bitset,709.0,0.02,474609
Pres_Poisson,14822,qg,10162.3,19.11,2668793
Pres_Poisson,14822,bitset,7872.8,16.08,2668793
banded_5000,5000,qg,47.3,0.00,29985
banded_5000,5000,bitset,328.3,0.00,29985
banded_10000,10000,qg,180.6,0.00,59985
banded_10000,10000,bitset,1288.0,0.00,59985
banded_20000,20000,qg,638.0,0.00,119985
banded_20000,20000,bitset,5856.5,24.86,119985
