matrix,n,nnz,factor_ll_ms,factor_csc_ms,factor_csc_sn_ms,solve_ll_ms,solve_csc_ms,solve_csc_sn_ms,speedup_csc,speedup_csc_sn,res_ll,res_csc,res_csc_sn
tridiag-20,20,58,0.073,0.101,0.062,0.002,0.003,0.002,0.72,1.18,2.96e-16,2.96e-16,2.96e-16
tridiag-40,40,118,0.067,0.122,0.228,0.004,0.003,0.004,0.55,0.29,2.96e-16,2.96e-16,2.96e-16
tridiag-60,60,178,0.303,0.256,0.188,0.005,0.005,0.004,1.18,1.61,2.96e-16,2.96e-16,2.96e-16
tridiag-80,80,238,0.164,0.288,0.287,0.006,0.006,0.006,0.57,0.57,2.96e-16,2.96e-16,2.96e-16
banded-20,20,160,0.108,0.134,0.148,0.004,0.004,0.003,0.81,0.73,4.08e-16,4.08e-16,4.08e-16
banded-40,40,340,0.270,0.295,0.271,0.009,0.006,0.006,0.92,1.00,4.08e-16,4.08e-16,4.08e-16
banded-60,60,520,0.269,0.467,0.608,0.014,0.011,0.011,0.58,0.44,4.07e-16,4.07e-16,4.07e-16
banded-80,80,700,0.335,0.556,1.060,0.010,0.009,0.009,0.60,0.32,4.07e-16,8.15e-16,8.15e-16
dense-20,20,400,0.506,0.446,0.580,0.007,0.019,0.006,1.13,0.87,4.83e-16,4.83e-16,4.83e-16
dense-60,60,3600,6.253,6.399,8.869,0.050,0.053,0.052,0.98,0.71,6.62e-16,8.82e-16,8.82e-16
