# bitset=yes
matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.2,0.03,637
nos4,100,bitset,0.2,0.00,637
bcsstk04,132,qg,1.6,0.14,3143
bcsstk04,132,bitset,1.0,0.01,3143
bcsstk14,1806,qg,90.2,2.33,116071
bcsstk14,1806,bitset,64.2,0.04,116071
Kuu,7102,qg,396.9,10.54,406264
Kuu,7102,bitset,702.4,0.05,406264
s3rmt3m3,5357,qg,470.0,1.05,474609
s3rmt3m3,5357,bitset,520.3,0.00,474609
Pres_Poisson,14822,qg,5683.2,19.19,2668793
Pres_Poisson,14822,bitset,6378.0,16.08,2668793
banded_5000,5000,qg,59.5,0.00,29985
banded_5000,5000,bitset,263.4,0.00,29985
banded_10000,10000,qg,233.2,0.00,59985
banded_10000,10000,bitset,1211.8,0.00,59985
banded_20000,20000,qg,919.5,0.00,119985
banded_20000,20000,bitset,6194.6,24.88,119985
