matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.3,skip
nos4,100,AMD,637,2.0,skip
nos4,100,COLAMD,778,0.7,skip
nos4,100,ND,968,117.9,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,20.5,skip
bcsstk04,132,COLAMD,3622,3.3,skip
bcsstk04,132,ND,3702,548.1,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,64.6,skip
Kuu,7102,AMD,406264,33259.9,skip
Kuu,7102,COLAMD,830665,4855.0,skip
Kuu,7102,ND,924361,13124.9,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,12.5,skip
bcsstk14,1806,AMD,116071,6340.1,skip
bcsstk14,1806,COLAMD,146037,199.7,skip
bcsstk14,1806,ND,131198,5696.7,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,37.6,skip
s3rmt3m3,5357,AMD,474609,65705.0,skip
s3rmt3m3,5357,COLAMD,607647,1466.8,skip
s3rmt3m3,5357,ND,478986,13546.2,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,178.6,skip
Pres_Poisson,14822,AMD,2668793,1030361.5,skip
Pres_Poisson,14822,COLAMD,3415793,14553.3,skip
Pres_Poisson,14822,ND,2541734,36117.0,skip
