matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.2,skip
nos4,100,AMD,637,1.6,skip
nos4,100,COLAMD,778,0.4,skip
nos4,100,ND,968,118.1,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,1.0,skip
bcsstk04,132,AMD,3143,20.9,skip
bcsstk04,132,COLAMD,3622,3.7,skip
bcsstk04,132,ND,3702,572.5,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,82.3,skip
Kuu,7102,AMD,406264,36915.3,skip
Kuu,7102,COLAMD,830665,5257.1,skip
Kuu,7102,ND,924361,14108.2,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,14.7,skip
bcsstk14,1806,AMD,116071,7020.2,skip
bcsstk14,1806,COLAMD,146037,243.9,skip
bcsstk14,1806,ND,131198,6521.3,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,42.8,skip
s3rmt3m3,5357,AMD,474609,73129.8,skip
s3rmt3m3,5357,COLAMD,607647,1599.8,skip
s3rmt3m3,5357,ND,478986,15156.5,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,185.1,skip
Pres_Poisson,14822,AMD,2668793,1339904.4,skip
Pres_Poisson,14822,COLAMD,3415793,19819.9,skip
Pres_Poisson,14822,ND,2541734,45053.7,skip
